asset_id,asset_type,install_year,age_years,age_ratio,zone,voltage_kv,customers_affected_if_fail,last_inspection_year,inspection_score,fault_count_5yr,is_critical_node,replacement_cost_nzd
CE-0001,OH_Line,2007,19,0.475,Tuakau,22,1951,2023,7,2,False,381764
CE-0002,OH_Line,2004,22,0.55,Tuakau,11,1854,2024,9,0,False,323713
CE-0003,OH_Line,2009,17,0.425,Waiuku,22,1656,2020,5,1,False,317673
CE-0004,OH_Line,1998,28,0.7,Clarks_Beach,11,938,2021,1,2,False,26682
CE-0005,OH_Line,2008,18,0.45,Pokeno,22,747,2018,10,1,False,237430
CE-0006,OH_Line,2003,23,0.575,Tuakau,22,1342,2025,7,0,False,221390
CE-0007,OH_Line,1994,32,0.8,Waiuku,11,1368,2023,1,3,False,74177
CE-0008,OH_Line,2005,21,0.525,Pokeno,11,1563,2022,8,1,False,232163
CE-0009,OH_Line,2002,24,0.6,Pukekohe,11,1532,2022,3,2,False,319185
CE-0010,OH_Line,2011,15,0.375,Waiuku,11,879,2025,8,0,False,111219
CE-0011,OH_Line,1993,33,0.825,Waiuku,22,569,2025,1,0,False,150328
CE-0012,OH_Line,2001,25,0.625,Pokeno,11,1629,2020,6,1,True,87651
CE-0013,OH_Line,2001,25,0.625,Pokeno,22,330,2025,8,0,False,253017
CE-0014,OH_Line,2009,17,0.425,Tuakau,11,610,2023,5,0,False,316989
CE-0015,OH_Line,1991,35,0.875,Pukekohe,22,1938,2020,4,3,False,390481
CE-0016,OH_Line,1996,30,0.75,Waiuku,11,1806,2019,8,0,False,230609
CE-0017,OH_Line,2008,18,0.45,Tuakau,11,1714,2018,9,0,False,380467
CE-0018,OH_Line,2007,19,0.475,Pokeno,22,837,2024,4,2,False,25599
CE-0019,OH_Line,2012,14,0.35,Pukekohe,11,1179,2024,7,0,False,89443
CE-0020,OH_Line,2001,25,0.625,Waiuku,11,1917,2021,5,1,False,243740
CE-0021,OH_Line,2012,14,0.35,Tuakau,22,952,2024,3,2,False,137152
CE-0022,OH_Line,2001,25,0.625,Tuakau,11,1654,2018,9,0,True,448599
CE-0023,OH_Line,1995,31,0.775,Pukekohe,11,1322,2023,4,1,False,364862
CE-0024,OH_Line,2013,13,0.325,Clarks_Beach,11,84,2019,7,0,False,279651
