asset_id,asset_type,zone,age_years,age_ratio,pof_score,cof_score,risk_score,priority,customers,cost_nzd
CE-0037,OH_Line,Tuakau,37,0.925,0.7358,0.9778,0.7195,P1_Critical,1494,409201
CE-0331,Transformer,Waiuku,34,0.971,0.7588,0.9344,0.709,P1_Critical,1459,26371
CE-0289,UG_Cable,Tuakau,31,0.62,0.69,0.9813,0.6771,P1_Critical,1771,247186
CE-0380,Transformer,Tuakau,30,0.857,0.7352,0.8979,0.6601,P1_Critical,584,124450
CE-0308,Transformer,Pokeno,32,0.914,0.8503,0.7692,0.6541,P1_Critical,1550,383554
CE-0339,Transformer,Pokeno,25,0.714,0.657,0.9876,0.6489,P1_Critical,1726,418587
CE-0193,OH_Line,Tuakau,41,1.025,0.8533,0.754,0.6434,P1_Critical,1192,439682
CE-0354,Transformer,Pukekohe,32,0.914,0.837,0.7576,0.6341,P1_Critical,1318,361506
CE-0302,Transformer,Tuakau,30,0.857,0.8085,0.7839,0.6338,P1_Critical,87,249827
CE-0148,OH_Line,Clarks_Beach,34,0.85,0.8183,0.7714,0.6312,P1_Critical,1895,186336
CE-0091,OH_Line,Pukekohe,36,0.9,0.8033,0.7752,0.6227,P1_Critical,1956,208730
CE-0195,OH_Line,Pukekohe,25,0.625,0.6592,0.9204,0.6067,P1_Critical,614,437795
CE-0007,OH_Line,Waiuku,32,0.8,0.82,0.736,0.6035,P1_Critical,1368,74177
CE-0455,Switchgear,Pokeno,20,0.667,0.6735,0.8862,0.5969,P1_Critical,354,498027
CE-0120,OH_Line,Pukekohe,38,0.95,0.7817,0.7607,0.5946,P1_Critical,1749,130563
CE-0015,OH_Line,Pukekohe,35,0.875,0.7575,0.7842,0.594,P1_Critical,1938,390481
CE-0395,Transformer,Pokeno,25,0.714,0.6303,0.9374,0.5908,P1_Critical,792,446987
CE-0036,OH_Line,Tuakau,41,1.025,0.82,0.7131,0.5847,P1_Critical,754,215811
CE-0469,Switchgear,Waiuku,17,0.567,0.5968,0.9765,0.5828,P1_Critical,1839,153462
CE-0187,OH_Line,Pokeno,29,0.725,0.6358,0.9163,0.5826,P1_Critical,698,192403
CE-0194,OH_Line,Clarks_Beach,41,1.025,0.78,0.7446,0.5808,P1_Critical,1218,215364
CE-0098,OH_Line,Waiuku,37,0.925,0.8425,0.6852,0.5773,P1_Critical,737,38247
CE-0437,Switchgear,Pokeno,23,0.767,0.5902,0.9767,0.5764,P1_Critical,1420,474333
CE-0387,Transformer,Tuakau,38,1.086,0.74,0.7724,0.5716,P1_Critical,1637,374095
CE-0485,Substation,Waiuku,40,0.889,0.7578,0.7464,0.5656,P1_Critical,1337,162441
CE-0358,Transformer,Pokeno,41,1.171,0.88,0.6396,0.5628,P1_Critical,294,100547
CE-0453,Switchgear,Tuakau,30,1.0,0.7333,0.7647,0.5608,P1_Critical,1380,472253
CE-0344,Transformer,Pokeno,41,1.171,0.7333,0.7636,0.5599,P1_Critical,1390,424594
CE-0419,Transformer,Pukekohe,21,0.6,0.7267,0.7647,0.5557,P1_Critical,1949,105986
CE-0038,OH_Line,Tuakau,32,0.8,0.5667,0.9699,0.5496,P1_Critical,1651,158615
CE-0405,Transformer,Pokeno,33,0.943,0.7582,0.7164,0.5432,P1_Critical,713,341345
CE-0498,Substation,Pukekohe,30,0.667,0.7135,0.7605,0.5426,P1_Critical,1361,379490
CE-0245,UG_Cable,Pokeno,36,0.72,0.72,0.7495,0.5396,P1_Critical,1280,239596
CE-0470,Switchgear,Waiuku,12,0.4,0.5933,0.9043,0.5365,P1_Critical,549,247042
CE-0051,OH_Line,Waiuku,31,0.775,0.7275,0.7322,0.5327,P1_Critical,1236,89789
CE-0139,OH_Line,Clarks_Beach,24,0.6,0.72,0.7392,0.5322,P1_Critical,1064,270601
CE-0410,Transformer,Tuakau,26,0.743,0.7115,0.7476,0.5319,P1_Critical,1475,114867
CE-0352,Transformer,Clarks_Beach,22,0.629,0.6945,0.7657,0.5318,P1_Critical,1397,478700
CE-0375,Transformer,Tuakau,11,0.314,0.577,0.9192,0.5304,P1_Critical,597,457092
CE-0101,OH_Line,Tuakau,41,1.025,0.7733,0.6807,0.5264,P1_Critical,490,164633
CE-0043,OH_Line,Clarks_Beach,32,0.8,0.7,0.751,0.5257,P1_Critical,1850,54061
CE-0077,OH_Line,Waiuku,35,0.875,0.6908,0.7603,0.5252,P1_Critical,1378,354176
CE-0427,Switchgear,Waiuku,19,0.633,0.7032,0.7452,0.524,P1_Critical,1555,78233
CE-0287,UG_Cable,Pukekohe,41,0.82,0.5433,0.9581,0.5205,P1_Critical,1351,173169
CE-0074,OH_Line,Pokeno,23,0.575,0.5608,0.9222,0.5172,P1_Critical,993,62349
CE-0474,Substation,Tuakau,27,0.6,0.6067,0.8486,0.5148,P1_Critical,219,333996
CE-0299,UG_Cable,Tuakau,34,0.68,0.6867,0.7483,0.5139,P1_Critical,1066,488380
CE-0027,OH_Line,Pokeno,20,0.5,0.67,0.7669,0.5138,P1_Critical,1546,332522
CE-0198,OH_Line,Clarks_Beach,31,0.775,0.5208,0.9857,0.5134,P1_Critical,1619,487336
CE-0294,UG_Cable,Pokeno,34,0.68,0.68,0.7527,0.5118,P1_Critical,1206,383102
