asset_id,asset_type,zone,age_years,age_ratio,pof_score,cof_score,risk_score,priority,customers,cost_nzd
CE-0001,OH_Line,Tuakau,19,0.475,0.4175,0.7843,0.3274,P3_Medium,1951,381764
CE-0002,OH_Line,Tuakau,22,0.55,0.3083,0.7784,0.24,P3_Medium,1854,323713
CE-0003,OH_Line,Waiuku,17,0.425,0.4192,0.7707,0.3231,P3_Medium,1656,317673
CE-0004,OH_Line,Clarks_Beach,28,0.7,0.73,0.6956,0.5078,P1_Critical,938,26682
CE-0005,OH_Line,Pokeno,18,0.45,0.265,0.7139,0.1892,P4_Low,747,237430
CE-0006,OH_Line,Tuakau,23,0.575,0.3875,0.7514,0.2912,P3_Medium,1342,221390
CE-0007,OH_Line,Waiuku,32,0.8,0.82,0.736,0.6035,P1_Critical,1368,74177
CE-0008,OH_Line,Pokeno,21,0.525,0.3692,0.7621,0.2814,P3_Medium,1563,232163
CE-0009,OH_Line,Pukekohe,24,0.6,0.6133,0.7656,0.4695,P2_High,1532,319185
CE-0010,OH_Line,Waiuku,15,0.375,0.2542,0.7131,0.1813,P4_Low,879,111219
CE-0011,OH_Line,Waiuku,33,0.825,0.7125,0.6891,0.491,P2_High,569,150328
CE-0012,OH_Line,Pokeno,25,0.625,0.4858,0.96,0.4664,P2_High,1629,87651
CE-0013,OH_Line,Pokeno,25,0.625,0.3792,0.6613,0.2508,P3_Medium,330,253017
CE-0014,OH_Line,Tuakau,17,0.425,0.3792,0.705,0.2673,P3_Medium,610,316989
CE-0015,OH_Line,Pukekohe,35,0.875,0.7575,0.7842,0.594,P1_Critical,1938,390481
CE-0016,OH_Line,Waiuku,30,0.75,0.4417,0.7715,0.3408,P3_Medium,1806,230609
CE-0017,OH_Line,Tuakau,18,0.45,0.2583,0.7757,0.2004,P3_Medium,1714,380467
CE-0018,OH_Line,Pokeno,19,0.475,0.5175,0.6875,0.3558,P2_High,837,25599
CE-0019,OH_Line,Pukekohe,14,0.35,0.275,0.729,0.2005,P3_Medium,1179,89443
CE-0020,OH_Line,Waiuku,25,0.625,0.5192,0.7763,0.4031,P2_High,1917,243740
CE-0021,OH_Line,Tuakau,14,0.35,0.4883,0.7215,0.3523,P2_High,952,137152
CE-0022,OH_Line,Tuakau,25,0.625,0.3458,0.9859,0.3409,P3_Medium,1654,448599
